"activity" "subject" "mean" "s.d"
"SITTING" 12 -0.636301750626951 0.52622870168125
"SITTING" 13 -0.638179130162868 0.543066636603673
"SITTING" 14 -0.639930771868791 0.5280379685885
"SITTING" 15 -0.641496217339585 0.537109906202275
"SITTING" 16 -0.642254023210701 0.540660946111618
"SITTING" 17 -0.643707360983648 0.54709797498025
"SITTING" 18 -0.650240242162375 0.534395879168263
"SITTING" 19 -0.638986666530727 0.53209411177613
"SITTING" 20 -0.639872725383092 0.527767117830281
"SITTING" 21 -0.644724493205524 0.534193252488579
"SITTING" 22 -0.634015600138589 0.532022049722643
"SITTING" 23 -0.632843540612456 0.543059200310429
"SITTING" 24 -0.646619496620551 0.526925830839725
"SITTING" 25 -0.645307467575153 0.534204894318477
"SITTING" 26 -0.642718508921569 0.538163762448172
"SITTING" 27 -0.647329814034974 0.533984958770938
"SITTING" 28 -0.637322526513564 0.523550153103677
"SITTING" 29 -0.644100724926612 0.54030786087254
"SITTING" 30 -0.646017901904583 0.532835681402282
"STANDING" 1 -0.647424789141436 0.542181337789553
"STANDING" 2 -0.636454993012462 0.536059426538189
"STANDING" 3 -0.626824657789309 0.523981202663951
"STANDING" 4 -0.618583772157932 0.530351097607765
"STANDING" 5 -0.618821537531601 0.526482578726867
"STANDING" 6 -0.629253160586122 0.524918864445532
"STANDING" 7 -0.63369010626409 0.528953245701607
"STANDING" 8 -0.639463722621354 0.537725697835807
"STANDING" 9 -0.633713631013694 0.526030674232032
"STANDING" 10 -0.630886542166037 0.526755493498941
"STANDING" 11 -0.648374467923916 0.536202658765753
"STANDING" 12 -0.627684013763497 0.530219182625889
"STANDING" 13 -0.639297749080434 0.535187318003595
"STANDING" 14 -0.633771114374627 0.530378924305392
"STANDING" 15 -0.640037091389994 0.53194178615701
"STANDING" 16 -0.646538416475197 0.536027968915291
"STANDING" 17 -0.644675070329398 0.541386142783106
"STANDING" 18 -0.645518459042212 0.53099975134502
"STANDING" 19 -0.640136697217531 0.531159784474125
"STANDING" 20 -0.620027732157146 0.523601719784163
"STANDING" 21 -0.638450214241584 0.528022506329555
"STANDING" 22 -0.635992094486953 0.529999769322386
"STANDING" 23 -0.637024168810267 0.531088424136574
"STANDING" 24 -0.634194893841734 0.53344655282101
"STANDING" 25 -0.645297950751058 0.528500727750385
"STANDING" 26 -0.644004547265191 0.533694523050013
"STANDING" 27 -0.644356212162637 0.535052504532977
"STANDING" 28 -0.627883524309929 0.519990161399115
"STANDING" 29 -0.650245278868483 0.536209908171482
"STANDING" 30 -0.630635453342216 0.527699114956464
"WALKING" 1 -0.319105810200331 0.452722654264638
"WALKING" 2 -0.385708093716054 0.471751410540144
"WALKING" 3 -0.386865862874514 0.47042947054323
"WALKING" 4 -0.43055661483918 0.485536384535955
"WALKING" 5 -0.378535121986988 0.471349048704243
"WALKING" 6 -0.337513362522582 0.462995436937977
"WALKING" 7 -0.306764482858546 0.458658161670587
"WALKING" 8 -0.299755499867352 0.46042789591661
"WALKING" 9 -0.37164660578822 0.467267674726799
"WALKING" 10 -0.327086776127028 0.459226854544395
"WALKING" 11 -0.431366510871248 0.4778994116884
"WALKING" 12 -0.355560155447154 0.465934707083466
"WALKING" 13 -0.316988827925179 0.460854393995368
"WALKING" 14 -0.385501824502105 0.460095719296736
"WALKING" 15 -0.390526282476396 0.470930092491822
"WALKING" 16 -0.431362808379042 0.477181248917123
"WALKING" 17 -0.387039462708526 0.471340331643968
"WALKING" 18 -0.436306077297177 0.474007929974224
"WALKING" 19 -0.238252786596887 0.441222720223505
"WALKING" 20 -0.259518117088663 0.458475195837703
"WALKING" 21 -0.330648706245588 0.462261283553448
"WALKING" 22 -0.274200987116311 0.460010818917144
"WALKING" 23 -0.265296718829829 0.464098141308726
"WALKING" 24 -0.416975175176002 0.473945996502654
"WALKING" 25 -0.460842122215599 0.482757503377511
"WALKING" 26 -0.392008755561813 0.465080130468016
"WALKING" 27 -0.377771272094104 0.468490345338959
"WALKING" 28 -0.393787255237739 0.468082416558165
"WALKING" 29 -0.352894943404783 0.459750416503951
"WALKING" 30 -0.373607524126774 0.458741626903586
"WALKING_DOWNSTAIRS" 1 -0.297226292824001 0.455514566936833
"WALKING_DOWNSTAIRS" 2 -0.259677293061387 0.465729490758389
"WALKING_DOWNSTAIRS" 3 -0.350536138554404 0.471565414517055
"WALKING_DOWNSTAIRS" 4 -0.363790441016887 0.485503779291866
"WALKING_DOWNSTAIRS" 5 -0.296901580091929 0.479605858322798
"WALKING_DOWNSTAIRS" 6 -0.198922424840441 0.478007541818861
"WALKING_DOWNSTAIRS" 7 -0.317129508211319 0.473530402086289
"WALKING_DOWNSTAIRS" 8 -0.19351985419359 0.458724749672543
"WALKING_DOWNSTAIRS" 9 -0.313140747277053 0.475828264325837
"WALKING_DOWNSTAIRS" 10 -0.263162073365728 0.463337371199746
"WALKING_DOWNSTAIRS" 11 -0.348717448293558 0.477173185821431
"WALKING_DOWNSTAIRS" 12 -0.311490436338625 0.479102128871457
"WALKING_DOWNSTAIRS" 13 -0.317234723087439 0.463191730560919
"WALKING_DOWNSTAIRS" 14 -0.203378373864087 0.474784640200934
"WALKING_DOWNSTAIRS" 15 -0.280227328116279 0.478913470640684
"WALKING_DOWNSTAIRS" 16 -0.339080301791712 0.480317131361736
"WALKING_DOWNSTAIRS" 17 -0.365194496888334 0.482880088421838
"WALKING_DOWNSTAIRS" 18 -0.438663811185222 0.484648090481038
"WALKING_DOWNSTAIRS" 19 -0.078306398113335 0.493267285356331
"WALKING_DOWNSTAIRS" 20 -0.247169665420288 0.471620332044863
"WALKING_DOWNSTAIRS" 21 -0.291301975673511 0.475622056333089
"WALKING_DOWNSTAIRS" 22 -0.287664837258693 0.477672679039378
"WALKING_DOWNSTAIRS" 23 -0.20246554081645 0.4574307312881
"WALKING_DOWNSTAIRS" 24 -0.359085991984149 0.472990421003547
"WALKING_DOWNSTAIRS" 25 -0.429924410531157 0.48048742191466
"WALKING_DOWNSTAIRS" 26 -0.322473123490661 0.467151493916604
"WALKING_DOWNSTAIRS" 27 -0.312446129792811 0.47435384225082
"WALKING_DOWNSTAIRS" 28 -0.291650876955502 0.46256315184821
"WALKING_DOWNSTAIRS" 29 -0.31726279115201 0.466798126904517
"WALKING_DOWNSTAIRS" 30 -0.358790607945901 0.464525701807421
"WALKING_UPSTAIRS" 1 -0.40699661814598 0.484862873610122
"WALKING_UPSTAIRS" 2 -0.363983305102955 0.466703992931453
"WALKING_UPSTAIRS" 3 -0.424274671811149 0.483280166456723
"WALKING_UPSTAIRS" 4 -0.415260374462441 0.482342658990012
"WALKING_UPSTAIRS" 5 -0.356353464901252 0.471016513212762
"WALKING_UPSTAIRS" 6 -0.330642340129316 0.464916100757488
"WALKING_UPSTAIRS" 7 -0.427408293255387 0.478967138009984
"WALKING_UPSTAIRS" 8 -0.293377815632218 0.464582765249912
"WALKING_UPSTAIRS" 9 -0.427075431896002 0.480856175330876
"WALKING_UPSTAIRS" 10 -0.345652600356602 0.463053071179259
"WALKING_UPSTAIRS" 11 -0.43527506672087 0.494681275282595
"WALKING_UPSTAIRS" 12 -0.42179157558609 0.4801841508273
"WALKING_UPSTAIRS" 13 -0.411582073864772 0.481399962634359
"WALKING_UPSTAIRS" 14 -0.285486358859423 0.511997359659549
"WALKING_UPSTAIRS" 15 -0.393720911542089 0.481360338460772
"WALKING_UPSTAIRS" 16 -0.440146451770759 0.485215967490382
"WALKING_UPSTAIRS" 17 -0.401431355861112 0.479425823691872
"WALKING_UPSTAIRS" 18 -0.470681472754459 0.490071688258084
"WALKING_UPSTAIRS" 19 -0.316821118319495 0.457959800536126
"WALKING_UPSTAIRS" 20 -0.338291941451443 0.467024672485213
"WALKING_UPSTAIRS" 21 -0.381967006088137 0.473554737531349
"WALKING_UPSTAIRS" 22 -0.305185521541175 0.468928019106076
"WALKING_UPSTAIRS" 23 -0.369581312588007 0.467164879388163
"WALKING_UPSTAIRS" 24 -0.43583828688532 0.474251576812081
"WALKING_UPSTAIRS" 25 -0.48551223324769 0.493089266961923
"WALKING_UPSTAIRS" 26 -0.41167278243368 0.480136846789247
"WALKING_UPSTAIRS" 27 -0.426267052017458 0.48671284301688
"WALKING_UPSTAIRS" 28 -0.401092965937606 0.473584351968701
"WALKING_UPSTAIRS" 29 -0.364429747315138 0.485009059372236
"WALKING_UPSTAIRS" 30 -0.439370730188029 0.489520080840848
